Air_flow_sensor,Air_flow_sensor,CO2_sensor,CO2_sensor,Damper,Damper,Fan,Fan,Occupancy_toohigh,Occupancy_toohigh,PIR_sensor,PIR_sensor,
0,1,0,1,0.000347368,0.999653,0.00107319,0.998927,0.999756,0.000244268,0,1,
0,1,0,1,0.000347368,0.999653,0.00107319,0.998927,0.999756,0.000244268,0,1,
0,1,0,1,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,0,1,0.000347368,0.999653,0.00107319,0.998927,0.999756,0.000244268,0,1,
0,1,0,1,0.000347368,0.999653,0.00107319,0.998927,0.999756,0.000244268,0,1,
0,1,0,1,0.90425,0.0957502,0.0174173,0.982583,0.0899326,0.910067,0,1,
0,1,0,1,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,0,1,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,0,1,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,0,1,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,0,1,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,0,1,0.00136787,0.998632,0.998732,0.00126752,0.00553144,0.994469,0,1,
0,1,0,1,0.00136787,0.998632,0.998732,0.00126752,0.00553144,0.994469,0,1,
0,1,0,1,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,0,1,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,0,1,0.90425,0.0957502,0.0174173,0.982583,0.0899326,0.910067,0,1,
0,1,0,1,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,0,1,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,0,1,0.000347368,0.999653,0.00107319,0.998927,0.999756,0.000244268,0,1,
0,1,0,1,0.000347368,0.999653,0.00107319,0.998927,0.999756,0.000244268,0,1,
0,1,0,1,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,0,1,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,0,1,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,0,1,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,0,1,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,0,1,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.90425,0.0957502,0.0174173,0.982583,0.0899326,0.910067,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,1,0,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,1,0,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,1,0,0.000347368,0.999653,0.00107319,0.998927,0.999756,0.000244268,0,1,
0,1,1,0,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,1,0,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,1,0,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,1,0,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.00391788,0.996082,0.16214,0.83786,0.834888,0.165112,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.90425,0.0957502,0.0174173,0.982583,0.0899326,0.910067,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.90425,0.0957502,0.0174173,0.982583,0.0899326,0.910067,0,1,
0,1,1,0,2.44789e-05,0.999976,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.90425,0.0957502,0.0174173,0.982583,0.0899326,0.910067,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,1,0,0,1,0.000277701,0.999722,0,1,
0,1,1,0,0.0555125,0.944488,0,1,0.000277701,0.999722,0,1,
